"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Josh Allen","BUF","606.2","401.1","4,584.5","34.0","13.3","110.6","519.8","7.6","5.1","380.5"
"Patrick Mahomes II","KC","630.0","418.4","5,021.7","38.8","8.9","55.5","268.0","2.9","2.5","377.8"
"Kyler Murray","ARI","591.0","391.4","4,218.9","27.0","12.9","126.5","702.1","7.7","3.7","360.0"
"Lamar Jackson","BAL","456.4","292.2","3,332.0","28.3","11.7","161.5","966.6","7.2","4.5","353.8"
"Dak Prescott","DAL","623.1","416.5","4,853.7","31.4","11.1","63.5","296.6","4.0","4.2","342.9"
"Russell Wilson","SEA","575.8","384.2","4,287.2","34.9","12.3","81.8","441.2","2.1","3.5","336.0"
"Aaron Rodgers","GB","572.2","385.9","4,453.0","36.8","7.2","39.9","168.6","1.9","3.1","333.0"
"Justin Herbert","LAC","615.4","399.4","4,576.6","30.5","12.0","61.2","273.0","4.4","2.6","329.3"
"Tom Brady","TB","621.5","405.0","4,705.2","37.2","11.9","24.5","31.8","2.1","2.2","324.4"
"Jalen Hurts","PHI","539.9","329.9","3,733.5","22.4","14.1","134.1","691.9","5.9","4.7","305.9"
"Ryan Tannehill","TEN","527.9","348.4","4,109.0","30.0","10.5","51.9","229.7","3.4","2.9","301.2"
"Joe Burrow","CIN","612.5","399.9","4,314.5","26.2","11.8","54.1","227.2","3.0","4.2","286.5"
"Matthew Stafford","LAR","612.2","405.4","4,563.6","28.5","11.5","31.7","120.6","0.7","3.2","283.3"
"Trevor Lawrence","JAC","593.1","379.8","4,179.3","24.9","13.1","68.9","320.9","2.3","3.2","280.0"
"Matt Ryan","ATL","613.8","401.6","4,518.0","27.3","12.8","32.9","117.6","1.4","4.3","275.7"
"Kirk Cousins","MIN","541.6","364.1","4,273.4","30.1","13.0","35.3","114.2","1.1","4.1","274.9"
"Tua Tagovailoa","MIA","579.5","377.9","3,988.2","26.0","13.6","56.7","214.8","2.8","1.8","271.2"
"Baker Mayfield","CLE","543.5","346.9","3,993.0","28.0","11.5","44.2","168.4","1.8","3.4","269.6"
"Derek Carr","LV","564.1","373.5","4,302.5","26.7","10.9","30.4","106.6","1.8","5.2","267.6"
"Ryan Fitzpatrick","WAS","582.4","386.6","4,144.7","23.9","16.6","50.6","245.9","3.0","2.3","266.4"
"Ben Roethlisberger","PIT","617.1","400.1","4,170.1","29.5","14.0","20.9","45.0","0.5","2.2","260.0"
"Daniel Jones","NYG","547.6","343.0","3,759.7","22.4","13.6","70.2","403.2","2.6","5.5","257.5"
"Zach Wilson","NYJ","554.9","351.5","3,955.0","21.6","15.4","66.9","303.6","2.5","3.0","252.9"
"Carson Wentz","IND","536.1","335.6","3,689.6","24.7","12.9","58.3","254.2","2.8","5.9","250.8"
"Sam Darnold","CAR","556.9","351.4","3,932.2","22.2","14.7","50.3","220.0","3.3","3.9","250.8"
"Jameis Winston","NO","523.7","337.6","3,845.4","26.0","16.7","44.9","191.9","1.2","4.2","242.1"
"Trey Lance","SF","413.1","258.3","3,076.4","19.6","11.1","79.9","410.9","3.3","2.6","235.4"
"Jared Goff","DET","579.4","370.7","4,134.7","22.2","14.9","39.6","89.1","1.7","4.2","234.8"
"Teddy Bridgewater","DEN","474.5","306.4","3,497.0","21.1","13.3","50.1","211.6","2.6","2.3","229.6"
"Justin Fields","CHI","461.0","290.5","3,127.7","19.0","11.6","83.8","403.5","3.0","4.0","228.4"
"Tyrod Taylor","HOU","429.3","266.8","3,044.4","16.8","9.1","47.2","210.4","2.0","1.6","200.4"
"Mac Jones","NE","416.1","267.3","2,970.4","18.3","11.2","25.9","97.0","1.3","2.6","181.8"
"Davis Mills","HOU","191.7","119.2","1,367.9","6.6","5.1","13.0","55.2","0.6","1.4","77.1"
"Jimmy Garoppolo","SF","155.0","105.4","1,228.2","7.1","3.7","11.8","28.1","0.4","1.2","72.7"
"Taysom Hill","NO","63.0","42.3","443.2","2.5","1.1","56.5","306.2","3.7","3.0","72.1"
"Deshaun Watson","HOU","131.0","86.7","1,019.7","5.7","3.3","16.0","74.7","0.3","1.0","64.3"
"Andy Dalton","CHI","137.9","88.5","932.5","5.9","3.8","12.5","41.8","0.3","0.3","58.6"
"Drew Lock","DEN","85.5","51.1","590.8","3.7","2.3","8.7","34.4","0.1","0.6","36.9"
"Jacob Eason","IND","45.7","27.7","311.8","1.6","1.4","2.6","12.6","0.0","0.2","17.1"
"Kyle Trask","TB","34.5","21.3","246.6","1.9","0.7","1.3","5.0","0.0","0.2","16.4"
"Jeff Driskel","HOU","34.0","21.2","244.2","1.2","0.8","3.4","18.1","0.2","0.2","15.3"
"Taylor Heinicke","WAS","36.8","23.4","257.7","1.3","1.4","5.7","22.8","0.1","0.2","15.2"
"Mason Rudolph","PIT","35.7","22.0","242.5","1.4","0.9","2.8","9.4","0.1","0.2","14.6"
"Phillip Walker","CAR","35.7","22.8","258.2","1.0","1.0","2.5","5.5","0.0","0.3","12.6"
"Jacoby Brissett","MIA","28.4","17.8","202.5","1.0","0.5","3.6","11.6","0.1","0.2","12.6"
"James Morgan","NYJ","32.2","19.4","220.9","1.3","1.2","1.5","5.7","0.1","0.2","12.3"
"Brian Hoyer","NE","26.9","17.5","190.7","1.1","0.9","2.5","7.4","0.0","0.1","11.1"
"Gardner Minshew II","PHI","23.3","14.3","152.6","1.0","0.6","3.9","20.1","0.1","0.2","10.9"
"Kellen Mond","MIN","20.9","13.2","152.1","1.1","0.4","1.7","7.7","0.1","0.1","10.7"
"Marcus Mariota","LV","21.1","13.1","151.6","0.8","0.7","4.5","24.0","0.1","0.1","10.5"
"Tyler Huntley","BAL","18.4","11.1","125.4","1.0","0.4","4.0","19.5","0.1","0.1","10.5"
"Bryce Perkins","LAR","20.0","13.0","142.0","1.0","0.0","1.0","4.0","0.0","0.0","10.1"
"Feleipe Franks","ATL","25.2","15.6","175.3","1.1","1.0","1.1","4.1","0.0","0.1","9.8"
"Tim Boyle","DET","25.7","15.7","176.0","0.7","0.3","2.3","3.0","0.0","0.0","9.3"
"Mitchell Trubisky","BUF","18.3","12.0","135.1","0.9","0.7","3.6","15.3","0.1","0.1","9.3"
"Chad Henne","KC","21.2","13.2","151.7","0.7","0.2","1.3","5.8","0.0","0.1","9.0"
"Brian Lewerke","NYG","17.0","10.0","107.0","1.0","0.0","1.0","4.0","0.0","0.0","8.7"
"John Wolford","LAR","21.9","13.7","150.5","0.6","0.4","1.8","9.1","0.0","0.1","8.3"
"Geno Smith","SEA","17.7","11.3","124.1","0.9","0.3","1.3","2.5","0.0","0.2","7.8"
"Brandon Allen","CIN","20.9","13.2","143.4","0.6","0.5","1.3","5.1","0.0","0.1","7.6"
"Jordan Love","GB","15.5","9.6","107.8","0.9","0.3","0.7","3.1","0.0","0.1","7.4"
"Ian Book","NO","18.0","12.0","121.0","1.0","1.0","1.0","4.0","0.0","0.0","7.2"
"Chase Daniel","LAC","18.3","11.4","130.7","0.6","0.5","1.5","5.8","0.0","0.1","7.2"
"C.J. Beathard","JAC","18.7","11.3","125.8","0.7","0.2","1.6","6.8","0.0","0.6","6.9"
"Joe Flacco","PHI","24.3","15.3","165.7","0.7","0.7","1.3","6.7","0.0","1.0","6.6"
"Chris Streveler","ARI","15.9","9.4","105.6","0.6","0.5","1.6","6.7","0.1","0.2","6.5"
"Blaine Gabbert","TB","16.0","9.7","110.7","0.3","0.0","1.3","5.3","0.0","0.0","6.3"
"Matt Barkley","TEN","13.3","8.4","98.0","0.7","0.3","0.4","1.4","0.0","0.2","6.0"
"Mike Glennon","NYG","18.7","11.7","125.4","0.6","0.4","1.2","5.6","0.0","0.6","5.7"
"Cooper Rush","DAL","16.0","9.6","99.6","0.7","0.5","0.7","1.9","0.0","0.2","5.7"
"David Blough","DET","15.5","9.5","105.1","0.5","0.4","0.6","2.5","0.0","0.2","5.6"
"Josh Rosen","ATL","13.5","8.5","91.0","0.5","0.5","2.0","8.0","0.0","0.0","5.4"
"Colt McCoy","ARI","12.0","8.0","84.5","0.5","0.5","1.5","8.0","0.0","0.0","5.2"
"Dwayne Haskins","PIT","14.0","8.5","84.0","0.5","0.5","1.5","5.0","0.0","0.0","4.9"
"Case Keenum","CLE","13.3","8.3","94.3","0.6","0.4","0.9","3.7","0.0","0.6","4.5"
"Logan Woodside","TEN","6.0","4.0","44.5","0.5","0.0","2.5","7.0","0.0","0.0","4.5"
"Trace McSorley","BAL","16.0","10.0","117.0","0.0","1.0","1.0","2.0","0.0","0.0","2.9"
"Nathan Peterman","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Foles","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Dobbs","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jarrett Stidham","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Griffin","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Mullens","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Luton","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Hundley","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Mannion","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Siemian","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate Sudfeld","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""