"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Patrick Mahomes II",KC,"3 out of 5 stars","2 out of 5 stars","344.4","0"
"2","Kyler Murray",ARI,"1 out of 5 stars","2 out of 5 stars","337.4","+1"
"3","Josh Allen",BUF,"2 out of 5 stars","2 out of 5 stars","326.2","-1"
"4","Dak Prescott",DAL,"2 out of 5 stars","2 out of 5 stars","320.6","+2"
"5","Lamar Jackson",BAL,"2 out of 5 stars","3 out of 5 stars","310.8","-1"
"6","Russell Wilson",SEA,"0 out of 5 stars","2 out of 5 stars","305.2","+1"
"7","Aaron Rodgers",GB,"2 out of 5 stars","3 out of 5 stars","298.2","-2"
"8","Tom Brady",TB,"2 out of 5 stars","3 out of 5 stars","296.8","+1"
"9","Justin Herbert",LAC,"3 out of 5 stars","3 out of 5 stars","294.0","-1"
"10","Ryan Tannehill",TEN,"2 out of 5 stars","2 out of 5 stars","280.0","+1"
"11","Jalen Hurts",PHI,"3 out of 5 stars","2 out of 5 stars","274.4","+1"
"12","Matthew Stafford",LAR,"4 out of 5 stars","3 out of 5 stars","261.8","-2"
"13","Joe Burrow",CIN,"3 out of 5 stars","2 out of 5 stars","259.0","0"
"14","Trevor Lawrence",JAC,"4 out of 5 stars","5 out of 5 stars","256.2","+2"
"15","Tua Tagovailoa",MIA,"4 out of 5 stars","3 out of 5 stars","252.0","+6"
"16","Kirk Cousins",MIN,"3 out of 5 stars","0 out of 5 stars","249.2","+2"
"17","Jameis Winston",NO,"4 out of 5 stars","3 out of 5 stars","249.2","+5"
"18","Baker Mayfield",CLE,"2 out of 5 stars","3 out of 5 stars","246.4","-4"
"19","Trey Lance",SF,"4 out of 5 stars","5 out of 5 stars","243.6","+1"
"20","Matt Ryan",ATL,"2 out of 5 stars","3 out of 5 stars","243.6","-5"
"21","Ben Roethlisberger",PIT,"4 out of 5 stars","3 out of 5 stars","243.6","-2"
"22","Justin Fields",CHI,"3 out of 5 stars","2 out of 5 stars","242.2","-5"
"23","Derek Carr",LV,"3 out of 5 stars","4 out of 5 stars","235.2","0"
"24","Sam Darnold",CAR,"3 out of 5 stars","4 out of 5 stars","235.2","+8"
"25","Teddy Bridgewater",DEN,"5 out of 5 stars","4 out of 5 stars","232.4","+4"
"26","Carson Wentz",IND,"4 out of 5 stars","2 out of 5 stars","231.0","+2"
"27","Mac Jones",NE,"5 out of 5 stars","2 out of 5 stars","226.8","-3"
"28","Zach Wilson",NYJ,"3 out of 5 stars","3 out of 5 stars","225.4","-2"
"29","Daniel Jones",NYG,"4 out of 5 stars","5 out of 5 stars","224.0","+1"
"30","Tyrod Taylor",HOU,"3 out of 5 stars","5 out of 5 stars","221.2","+5"
"31","Jared Goff",DET,"2 out of 5 stars","5 out of 5 stars","211.4","+2"
"32","Ryan Fitzpatrick",WAS,"4 out of 5 stars","5 out of 5 stars","198.8","-7"
"33","Taylor Heinicke",WAS,"4 out of 5 stars","5 out of 5 stars","72.8","-"
"34","Jimmy Garoppolo",SF,"4 out of 5 stars","5 out of 5 stars","65.8","+3"
"35","Andy Dalton",CHI,"3 out of 5 stars","2 out of 5 stars","58.8","+3"
"36","Taysom Hill",NO,"4 out of 5 stars","3 out of 5 stars","36.4","-2"
"37","Drew Lock",DEN,"5 out of 5 stars","4 out of 5 stars","33.6","-1"
"38","Deshaun Watson",HOU,"3 out of 5 stars","5 out of 5 stars","29.4","-11"
"39","Mitchell Trubisky",BUF,"2 out of 5 stars","2 out of 5 stars","18.2","-"
"40","Jordan Love",GB,"2 out of 5 stars","3 out of 5 stars","16.8","0"
"41","Gardner Minshew II",PHI,"3 out of 5 stars","2 out of 5 stars","16.8","-"
"42","Davis Mills",HOU,"3 out of 5 stars","5 out of 5 stars","15.4","-"